METADATA|LegacyLearningItem|LearningItemId|EffectiveStartDate|EffectiveEndDate|LearningItemNumber|Title|ShortDescription|OwnedByPersonId|OwnedByPersonNumber|SourceType|SourceId|SourceInfo|SourceSystemOwner|SourceSystemId
MERGE|LegacyLearningItem||2020/13/10|4712/12/31|PK_VR_54|Phone Etiquette Phase 1|Pahami etika saat berinteraksi melalui telepon.||3016645||||HCMS|PK_VR_54
MERGE|LegacyLearningItem||2020/13/10|4712/12/31|PK_VR_55|Phone Etiquette Phase 2|Kiat-kiat berinteraksi melalui telepon.||3016645||||HCMS|PK_VR_55
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_56|MyHana Internet Banking|Apa saja yang bisa dilakukan di MyHana Internet Banking? Yuk, cari tahu!||3016645||||HCMS|PK_VR_56
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_57|MyHana Mobile Banking|Bagaimana cara registrasi MyHana Mobile Banking melalui aplikasi? Yuk, cari tahu!||3016645||||HCMS|PK_VR_57
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_58|CBS|Yuk, cari tahu kenapa CBS itu penting!||3016645||||HCMS|PK_VR_58
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_59|Evaluation E-Channel|Sudahkah kamu memahami E-Channel di Hana Bank?||3016645||||HCMS|PK_VR_59
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_60|Evaluation (All Employee)|Sekarang saatnya mengevaluasi hasil pembelajaranmu mengenai APU PPT.||3016645||||HCMS|PK_VR_60
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_61|Evaluation (BM & BSM)|Sekarang saatnya mengevaluasi hasil pembelajaranmu mengenai APU PPT.||3016645||||HCMS|PK_VR_61
MERGE|LegacyLearningItem||2020/21/12|4712/12/31|PK_VR_62|Cara Berkomunikasi yang Baik|Yuk, cari tahu cara berkomunikasi yang baik!||3016645||||HCMS|PK_VR_62
MERGE|LegacyLearningItem||2020/24/2|4712/12/31|PK_VR_66|Evaluation|||3016645||||HCMS|PK_VR_66
MERGE|LegacyLearningItem||2020/24/2|4712/12/31|PK_VR_67|e-Certificate Prog|||3016645||||HCMS|PK_VR_67
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_68|Sosialisasi Bea Materai|Yuk, cari tahu mengenai Bea Materai.||3016645||||HCMS|PK_VR_68
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_69|Sosialisasi Sustainable Finance|Cari tahu mengenai Sustainable Finance pada modul ini!||3016645||||HCMS|PK_VR_69
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_71|Google Link|Google Link.||3016645||||HCMS|PK_VR_71
MERGE|LegacyLearningItem||2020/21/12|4712/12/31|PK_VR_72|Jenis Mempengaruhi Interpersonal|Kenali 4 jenis yang mempengaruhi interpersonal.||3016645||||HCMS|PK_VR_72
MERGE|LegacyLearningItem||2020/21/12|4712/12/31|PK_VR_73|Tips & Tricks Assert|Yuk, cari tahu 3 poin penting Assertive Communication!||3016645||||HCMS|PK_VR_73
MERGE|LegacyLearningItem||2020/3/12|4712/12/31|PK_VR_74|Opening |Yuk, cari tahu mengapa pengembangan layanan Digital Banking menjadi penting.||3016645||||HCMS|PK_VR_74
MERGE|LegacyLearningItem||2020/3/12|4712/12/31|PK_VR_75|Revolusi Industri 4.0|Apa itu Digitalisasi dan Revolusi Industri 4.0? Cari tahu di modul ini.||3016645||||HCMS|PK_VR_75
MERGE|LegacyLearningItem||2020/3/12|4712/12/31|PK_VR_76|How is Digitalization Banking in Indonesia|Bagaimana layanan Digital Banking di Indonesia?||3016645||||HCMS|PK_VR_76
MERGE|LegacyLearningItem||2020/3/12|4712/12/31|PK_VR_77|Tren E-Channel |Yuk, cari tahu tren e-Channel di Indonesia.||3016645||||HCMS|PK_VR_77
MERGE|LegacyLearningItem||2020/3/12|4712/12/31|PK_VR_78|E-Money|Bagaimana penggunaan E-Money di Indonesia?||3016645||||HCMS|PK_VR_78
MERGE|LegacyLearningItem||2020/3/12|4712/12/31|PK_VR_79|Banking 4.0|Cari tahu bagaimana industri perbankan bertransformasi menjadi Banking 4.0!||3016645||||HCMS|PK_VR_79
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_80| e-Certificate APU PPT|e-Certificate APU PPT.||3016645||||HCMS|PK_VR_80
MERGE|LegacyLearningItem||2020/13/10|4712/12/31|PK_VR_81|e-Certificate APU PPT (BM & BSM)|e-Certificate APU PPT (BM & BSM).||3016645||||HCMS|PK_VR_81
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_82|Opening Digital Banking (Old)|||3016645||||HCMS|PK_VR_82
MERGE|LegacyLearningItem||2020/24/2|4712/12/31|PK_VR_83|Early Warning untuk Debitur dengan Collectability 2|Early Warning Delinquency (EW17).||3016645||||HCMS|PK_VR_83
MERGE|LegacyLearningItem||2020/24/2|4712/12/31|PK_VR_84|Early Warning untuk Debitur dengan Posisi Pass (Collectability 1)|Early Warning Delinquency (EW17).||3016645||||HCMS|PK_VR_84
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_85|Test Module Upload|||3016645||||HCMS|PK_VR_85
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_86|Module Risaf|||3016645||||HCMS|PK_VR_86
MERGE|LegacyLearningItem||2021/20/8|4712/12/31|PK_VR_87|Opening Know Your Company|Yuk, simak pembukaan course Know Your Company!||3016645||||HCMS|PK_VR_87
MERGE|LegacyLearningItem||2021/20/8|4712/12/31|PK_VR_89|Fraud Awareness|Ada berbagai macam Fraud yang harus diketahui. Yuk, simak video nya!||3016645||||HCMS|PK_VR_89
MERGE|LegacyLearningItem||2021/20/8|4712/12/31|PK_VR_90|Service Mindset|Yuk, pelajari materi untuk membangun citra diri yang lebih baik dan profesional!||3016645||||HCMS|PK_VR_90
MERGE|LegacyLearningItem||2021/20/8|4712/12/31|PK_VR_91|Standard Grooming|Inilah Standard Grooming yang diterapkan oleh Hana Bank!||3016645||||HCMS|PK_VR_91
MERGE|LegacyLearningItem||2021/20/8|4712/12/31|PK_VR_92|Closing Know Your Company|Closing.||3016645||||HCMS|PK_VR_92
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_93|Cara Berkomunikasi yang Baik (old)|||3016645||||HCMS|PK_VR_93
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_97|Test 1|||3016645||||HCMS|PK_VR_97
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_98|test 2|||3016645||||HCMS|PK_VR_98
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_100|upload_test|||3016645||||HCMS|PK_VR_100
MERGE|LegacyLearningItem||2021/7/1|4712/12/31|PK_VR_102|Kuisioner Pakta Integritas Protokol Kesehatan|Yuk, isi Pakta Integritas Protokol Kesehatan!||3016645||||HCMS|PK_VR_102
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_104|test 3|||3016645||||HCMS|PK_VR_104
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_105|Test 4|||3016645||||HCMS|PK_VR_105
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_106|taraaa|||3016645||||HCMS|PK_VR_106
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_108|Cobaaa|||3016645||||HCMS|PK_VR_108
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_109|Cobaa 2|||3016645||||HCMS|PK_VR_109
MERGE|LegacyLearningItem||2021/15/7|4712/12/31|PK_VR_111|Dashboard|Dashboard mis.hanabank.co.id||3016645||||HCMS|PK_VR_111
MERGE|LegacyLearningItem||2021/15/7|4712/12/31|PK_VR_112|Report Inquiry |Report Inquiry mis.hanabank.co.id||3016645||||HCMS|PK_VR_112
MERGE|LegacyLearningItem||2021/15/7|4712/12/31|PK_VR_113|Performance Calendar|Performance Calendar mis.hanabank.co.id||3016645||||HCMS|PK_VR_113
MERGE|LegacyLearningItem||2021/15/7|4712/12/31|PK_VR_114|Customer Portal|Customer Portal mis.hanabank.co.id||3016645||||HCMS|PK_VR_114
MERGE|LegacyLearningItem||2021/3/3|4712/12/31|PK_VR_115|Chapter 1 - Overview of AML - CFT |Yuk, cari tahu overview tentang pencucian uang!||3016645||||HCMS|PK_VR_115
MERGE|LegacyLearningItem||2021/3/3|4712/12/31|PK_VR_116|Chapter 2 - Elements of AML - CFT |Ini dia elemen-elemen dari anti pencucian uang.||3016645||||HCMS|PK_VR_116
MERGE|LegacyLearningItem||2021/3/3|4712/12/31|PK_VR_117|Chapter 3 - Reporting and Sanctions |Kebijakan, prosedur laporan dan sanksi terkait anti pencucian uang.||3016645||||HCMS|PK_VR_117
MERGE|LegacyLearningItem||2021/3/3|4712/12/31|PK_VR_118|Post Test |Yuk, uji pemahamanmu terkait AML!||3016645||||HCMS|PK_VR_118
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_119|Work From Home|WFH Guidance.||3016645||||HCMS|PK_VR_119
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_120|Introduction_UAT|Introduction||3016645||||HCMS|PK_VR_120
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_121|Protokol Keluar Rumah|Yuk, cari tahu bagaimana Protokol Keluar Rumah pada modul ini!||3016645||||HCMS|PK_VR_121
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_122|Protokol Kedatangan Sampai di Rumah Setelah Berpergian|Yuk, cari tahu bagaimana Protokol Kedatangan Sampai di Rumah Setelah Berpergian.||3016645||||HCMS|PK_VR_122
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_124|Panduan Menerima Tamu|Bagaimana cara terbaik menerima tamu saat pandemi Covid-19? Cari tahu di modul ini.||3016645||||HCMS|PK_VR_124
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_125|Overview Asset Management|||3016645||||HCMS|PK_VR_125
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_126|Leader as Talent Manager|||3016645||||HCMS|PK_VR_126
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_127|APD|||3016645||||HCMS|PK_VR_127
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_128|5M untuk Pencegahan Penularan COVID-19|Apa saja 5M untuk Pencegahan Penularan COVID-19? Cari tahu di modul ini!||3016645||||HCMS|PK_VR_128
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_129|Tanggung Jawab Karyawan & Atasan|Cari tahu Tanggung Jawab Karyawan & Atasan pada modul ini!||3016645||||HCMS|PK_VR_129
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_130|How to Connect in Business - Refreshment Program for Personal Banker (FA)|Yuk cari tahu pada modul ini bagaimana cara kita menjadi penjual yang handal!||3016645||||HCMS|PK_VR_130
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_131|Bank Notes Identification|Bagaimana cara mengidentifikasi Bank Notes yang kita terima? Cari tahu di modul ini.||3016645||||HCMS|PK_VR_131
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_132|April 2021 (English Version)|Headquarter Compliance Training.||3016645||||HCMS|PK_VR_132
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_133|April 2021 (Korean Version)|Headquarter Compliance Training.||3016645||||HCMS|PK_VR_133
MERGE|LegacyLearningItem||2020/13/10|4712/12/31|PK_VR_134|Standard Appearance|Tata cara berpenampilan secara profesional.||3016645||||HCMS|PK_VR_134
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_135|Protokol Libur Panjang|Simak Protokol Libur Panjang, pada modul ini.||3016645||||HCMS|PK_VR_135
MERGE|LegacyLearningItem||2021/30/4|4712/12/31|PK_VR_136|Refreshment SMR Part 1|Peran Basel terhadap perkembangan penerapan manajemen risiko di Indonesia.||3016645||||HCMS|PK_VR_136
MERGE|LegacyLearningItem||2021/30/4|4712/12/31|PK_VR_137|Refreshment SMR Part 2|Peran Basel terhadap perkembangan penerapan manajemen risiko di Indonesia.||3016645||||HCMS|PK_VR_137
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_138|Refreshment SMR Part 3|Peran Basel terhadap perkembangan penerapan manajemen risiko di Indonesia.||3016645||||HCMS|PK_VR_138
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_139|Overview |Overview||3016645||||HCMS|PK_VR_139
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_140|Laporan Laba Rugi (Income Statement)  |Yuk pelajari Laporan Laba Rugi (Income Statement).||3016645||||HCMS|PK_VR_140
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_141|Laporan Perubahan Modal/Ekuitas (Statement of Changes in Equity)  |Yuk pelajari Laporan Perubahan Modal/Ekuitas (Statement of Changes in Equity).||3016645||||HCMS|PK_VR_141
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_142|Neraca/Laporan Posisi Keuangan (Balance Sheet)  |Yuk pelajari Neraca/Laporan Posisi Keuangan (Balance Sheet).||3016645||||HCMS|PK_VR_142
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_143|Laporan Arus Kas (Statement of Cash Flow)|Yuk pelajari Laporan Arus Kas (Statement of Cash Flow).||3016645||||HCMS|PK_VR_143
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_144|Catatan Atas Laporan Keuangan (Notes of Financial Statement)  |Yuk pelajari Catatan Atas Laporan Keuangan (Notes of Financial Statement).||3016645||||HCMS|PK_VR_144
MERGE|LegacyLearningItem||2021/8/3|4712/12/31|PK_VR_145|Work From Office|WFO Guidance.||3016645||||HCMS|PK_VR_145
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_146|May 2021 (English Version)|Headquarter Compliance Training.||3016645||||HCMS|PK_VR_146
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_147|Penutupan Rekening Nasabah Meninggal Dunia (oleh Ahli Waris)|Yuk, pelajari hal yang harus diperhatikan pada Penutupan Rekening Nasabah Meninggal Dunia.||3016645||||HCMS|PK_VR_147
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_148|Introduction Ngebank #caralain 1080p|Produk simpanan LINE Bank by Hana Bank.||3016645||||HCMS|PK_VR_148
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_149|Introduction Ngebank #CaraLain|Produk simpanan LINE Bank by Hana Bank.||3016645||||HCMS|PK_VR_149
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_150|Introduction Ngebank #caralain 480p|Produk simpanan LINE Bank by Hana Bank.||3016645||||HCMS|PK_VR_150
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_151|Go Education - Scholarship Program|Yuk, cari tahu mengenai Go Education pada modul ini!||3016645||||HCMS|PK_VR_151
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_152|Overview Basic Treasury|Overview Basic Treasury.||3016645||||HCMS|PK_VR_152
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_153|Pasar Uang (Money Market)|Definisi, tujuan, dan partisipan Pasar Uang.||3016645||||HCMS|PK_VR_153
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_154|Pasar Valuta Asing (Foreign Exchange Market)|Definisi, jenis, tujuan, dan partisipan Pasar Valuta Asing.||3016645||||HCMS|PK_VR_154
MERGE|LegacyLearningItem||2021/7/1|4712/12/31|PK_VR_155|Pakta Integritas APU PPT|Kode Etik Anti Pencucian Uang dan Pencegahan Pendanaan Terorisme.||3016645||||HCMS|PK_VR_155
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_156|Four Eyes Principal|Apa itu Four Eyes Principal? Pelajari pada modul ini.||3016645||||HCMS|PK_VR_156
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_157|June 2021 (English Version)|Headquarter Compliance Training||3016645||||HCMS|PK_VR_157
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_158|June 2021 (Korean Version)|Headquarter Compliance Training||3016645||||HCMS|PK_VR_158
MERGE|LegacyLearningItem||2020/13/10|4712/12/31|PK_VR_159|Business Manner Part 1|Standar Business Manner di Hana Bank.||3016645||||HCMS|PK_VR_159
MERGE|LegacyLearningItem||2020/13/10|4712/12/31|PK_VR_160|Business Manner Part 2|Standar Business Manner di Hana Bank.||3016645||||HCMS|PK_VR_160
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_161|Test_eCertificate|||3016645||||HCMS|PK_VR_161
MERGE|LegacyLearningItem||2021/17/6|4712/12/31|PK_VR_162|General Safety (Site)|Aspek-aspek safety di site.||3016645||||HCMS|PK_VR_162
MERGE|LegacyLearningItem||2021/17/6|4712/12/31|PK_VR_163|How do I Look?|Identifikasi penerapan berpakaian sesuai ketentuan perusahaan.||3016645||||HCMS|PK_VR_163
MERGE|LegacyLearningItem||2021/17/6|4712/12/31|PK_VR_164|Get Ready for Daily Sales Meeting!|Bersiaplah! Pengetahuanmu terkait Daily Sales Meeting akan diuji!||3016645||||HCMS|PK_VR_164
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_165|Prime Customer Service Policy Part 1 (High Risk)|Persyaratan Nasabah Prima.||3016645||||HCMS|PK_VR_165
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_166|Prime Customer Service Policy Part 2 (High Risk)|Ruang lingkup produk dan aktivitas layanan Nasabah Prima.||3016645||||HCMS|PK_VR_166
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_167|Prime Customer Service Policy Part 3 (High Risk)|Aspek pendukung layanan Nasabah Prima.||3016645||||HCMS|PK_VR_167
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_168|Proses Permintaan Approval Dokumen dan Tata Cara Serah Terima Dokumen (Medium Risk)|Approval dokumen di masa pandemi.||3016645||||HCMS|PK_VR_168
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_169|Evaluation Bancassurance|Yuk, uji pemahamanmu mengenai materi yang sudah kamu pelajari!||3016645||||HCMS|PK_VR_169
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_170|Evaluation Bond|Yuk, uji pemahamanmu mengenai materi yang sudah kamu pelajari!||3016645||||HCMS|PK_VR_170
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_171|Evaluation Mutual Fund|Yuk, uji pemahamanmu mengenai materi yang sudah kamu pelajari!||3016645||||HCMS|PK_VR_171
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_172|Bancassurance|Bancassurance Product Knowledge.||3016645||||HCMS|PK_VR_172
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_173|Bond|Bond Product Knowledge.||3016645||||HCMS|PK_VR_173
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_174|Mutual Fund|Mutual Fund Product Material.||3016645||||HCMS|PK_VR_174
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_175|Incoming Call|5 hal yang harus diperhatikan dalam menjawab telepon.||3016645||||HCMS|PK_VR_175
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_176|Outgoing Call|Hal yang harus dilakukan sebelum menelepon.||3016645||||HCMS|PK_VR_176
MERGE|LegacyLearningItem||2020/23/11|4712/12/31|PK_VR_177|e-Certificate Refreshment SMR_QC|||3016645||||HCMS|PK_VR_177
MERGE|LegacyLearningItem||2021/30/4|4712/12/31|PK_VR_178|e-Certificate Refreshment SMR|e-Certificate Refreshment SMR.||3016645||||HCMS|PK_VR_178
MERGE|LegacyLearningItem||2021/7/1|4712/12/31|PK_VR_179|Pakta Integritas Penerapan Integritas Tinggi Dalam Setiap Aktivitas Kerja Periode 2021|Penerapan Integritas tinggi dalam setiap aktivitas kerja.||3016645||||HCMS|PK_VR_179
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_180|July 2021 (English Version) |Headquarter Compliance Training||3016645||||HCMS|PK_VR_180
